"","Rec_area","Location","visit_date","Year","Month","Day","Ec_per100mL","Mc_ugL","month_day","sample_count"
"1","Annie Laurie Beach","annie laurie lake",2019-07-09,"2019",7,9,"52.66","0.099","07-09",8
"2","Aspen Grove Beach","blackstrap lake",2019-07-23,"2019",7,23,"30.92","0.099","07-23",12
"3","Aspen Grove Beach","blackstrap lake",2019-08-14,"2019",8,14,"36.3","0.099","08-14",12
"4","Battlefords Provincial Park Public Beach","jackfish lake",2019-07-09,"2019",7,9,"11.39","0.099","07-09",12
"5","Bird's Point Beach","round lake",2019-06-17,"2019",6,17,"2.73","0.099","06-17",5
"6","Bird's Point Beach","round lake",2019-07-22,"2019",7,22,"3.64","0.099","07-22",5
"7","Bird's Point Beach","round lake",2019-08-12,"2019",8,12,"127.39","0.099","08-12",5
"8","B-Say Tah Beach","echo lake",2019-06-27,"2019",6,27,"0.15","0.099","06-27",56
"9","B-Say Tah Beach","echo lake",2019-07-23,"2019",7,23,"4.12","0.099","07-23",56
"10","B-Say Tah Beach","echo lake",2019-08-22,"2019",8,22,"2.81","0.099","08-22",56
"11","Buffalo Pound Provincial Park Beach","buffalo pound",2019-06-24,"2019",6,24,"8.79","0.099","06-24",3
"12","Buffalo Pound Provincial Park Beach","buffalo pound",2019-07-24,"2019",7,24,"2.23","0.099","07-24",3
"13","Buffalo Pound Provincial Park Beach","buffalo pound",2019-08-19,"2019",8,19,"8.56","5","08-19",3
"14","Cabri Regional Park Beach","lake diefenbaker",2019-07-23,"2019",7,23,"8.97","0.099","07-23",22
"15","Cabri Regional Park Beach","lake diefenbaker",2019-08-14,"2019",8,14,"2.03","0.099","08-14",22
"16","Camp Elim Beach","lac pelletier lake",2019-07-11,"2019",7,11,"2.47","0.099","07-11",8
"17","Camp Lemieux Beach","lac pelletier lake",2019-07-11,"2019",7,11,"1.49","0.099","07-11",8
"18","Camp Whitesand Beach","whitesand lake",2019-07-24,"2019",7,24,"43.33","0.099","07-24",1
"19","Clearwater Lake Regional Park Beach","clearwater lake",2019-08-13,"2019",8,13,"3.27","0.099","08-13",1
"20","Cypress Hills Interprovincial Park West Beach","loch leven lake",2019-08-15,"2019",8,15,"11.24","0.099","08-15",1
"21","Danielson Visitor's Center Beach","lake diefenbaker",2019-06-25,"2019",6,25,"2.06","0.099","06-25",22
"22","Danielson Visitor's Center Beach","lake diefenbaker",2019-07-03,"2019",7,3,"5.1","0.099","07-03",22
"23","Danielson Visitor's Center Beach","lake diefenbaker",2019-07-09,"2019",7,9,"115.98","0.099","07-09",22
"24","Danielson Visitor's Center Beach","lake diefenbaker",2019-07-17,"2019",7,17,"7.56","0.099","07-17",22
"25","Danielson Visitor's Center Beach","lake diefenbaker",2019-07-25,"2019",7,25,NA,NA,"07-25",22
"26","Danielson Visitor's Center Beach","lake diefenbaker",2019-07-30,"2019",7,30,"35.2","0.099","07-30",22
"27","Danielson Visitor's Center Beach","lake diefenbaker",2019-08-06,"2019",8,6,"28.7","0.099","08-06",22
"28","Danielson Visitor's Center Beach","lake diefenbaker",2019-08-13,"2019",8,13,"0.82","0.099","08-13",22
"29","Danielson Visitor's Center Beach","lake diefenbaker",2019-08-20,"2019",8,20,"3.55","0.099","08-20",22
"30","Danielson Visitor's Center Beach","lake diefenbaker",2019-08-27,"2019",8,27,"1.61","0.099","08-27",22
"31","Darlings Beach","lac pelletier lake",2019-08-08,"2019",8,8,"0.89","0.099","08-08",8
"32","Denare Beach Main Beach Area","amisk lake",2019-07-24,"2019",7,24,"0.43","0.099","07-24",1
"33","Echo Bible Camp Beach","echo lake",2019-07-18,"2019",7,18,"1.93","0.099","07-18",56
"34","Echo Provincial Park Beach","echo lake",2019-06-27,"2019",6,27,"22.53","0.099","06-27",56
"35","Echo Provincial Park Beach","echo lake",2019-07-04,"2019",7,4,"10.46","0.099","07-04",56
