Rec_area,Location,Date,Ec_per100mL,Mc_ugL
Annie Laurie Beach,Annie Laurie Lake,2019-07-09,52.66,0.099
Aspen Grove Beach,Blackstrap Lake,2019-07-23,30.92,0.099
Aspen Grove Beach,Blackstrap Lake,2019-08-14,36.3,0.099
"Battlefords Provincial Park Public
Beach",Jackfish Lake,2019-07-09,11.39,0.099
Bird's Point Beach,Round Lake,2019-06-17,2.73,0.099
Bird's Point Beach,Round Lake,2019-07-22,3.64,0.099
Bird's Point Beach,Round Lake,2019-08-12,127.39,0.099
B-Say Tah Beach,Echo Lake,2019-06-27,0.15,0.099
B-Say Tah Beach,Echo Lake,2019-07-23,4.12,0.099
B-Say Tah Beach,Echo Lake,2019-08-22,2.81,0.099
Buffalo Pound Provincial Park Beach,Buffalo Pound,2019-06-24,8.79,0.099
Buffalo Pound Provincial Park Beach,Buffalo Pound,2019-07-24,2.23,0.099
Buffalo Pound Provincial Park Beach,Buffalo Pound,2019-08-19,8.56,5
Cabri Regional Park Beach,Lake Diefenbaker,2019-07-23,8.97,0.099
Cabri Regional Park Beach,Lake Diefenbaker,2019-08-14,2.03,0.099
Camp Elim Beach,Lac Pelletier Lake,2019-07-11,2.47,0.099
Camp Lemieux Beach,Lac Pelletier Lake,2019-07-11,1.49,0.099
Camp Whitesand Beach, Whitesand Lake,2019-07-24,43.33,0.099
Clearwater Lake Regional Park Beach, Clearwater Lake,2019-08-13,3.27,0.099
Cypress Hills Interprovincial Park West Beach, Loch Leven Lake,2019-08-15,11.24,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-06-25,2.06,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-07-03,5.1,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-07-09,115.98,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-07-17,7.56,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-07-25,NA,NA
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-07-30,35.2,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-08-06,28.7,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-08-13,0.82,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-08-20,3.55,0.099
Danielson Visitor’s Center Beach, Lake Diefenbaker,2019-08-27,1.61,0.099
Darlings Beach, Lac Pelletier Lake,2019-08-08,0.89,0.099
Denare Beach Main Beach Area, Amisk Lake,2019-07-24,0.43,0.099
Echo Bible Camp Beach, Echo Lake,2019-07-18,1.93,0.099
Echo Provincial Park Beach, Echo Lake,2019-06-27,22.53,0.099
Echo Provincial Park Beach, Echo Lake,2019-07-04,10.46,0.099
Echo Provincial Park Beach, Echo Lake,2019-07-11,0.82,0.099
Echo Provincial Park Beach, Echo Lake,2019-07-18,33.98,0.099
Echo Provincial Park Beach, Echo Lake,2019-07-23,6.07,0.099
Echo Provincial Park Beach, Echo Lake,2019-08-01,6.26,0.099
